# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: endurosetuptesting515
# Segment type: moving_event | combined 4 segments | source ranges: 72.100-597.800 s, 1687.600-2054.000 s, 3092.700-3653.100 s, 4646.000-4893.600 s
# Source files: Enduro Setup Testing 5-15.txt
# Format: no_drs_21_column | estimated: none | missing-as-NaN: tempFLRaw, tempRLRaw | startup-cleaning: trimmed 0.00 s, start 19.8 C, spikes 1157
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	NaN	1435	NaN	1655	88	568	0	0	0	542	-0	-0	-0	-0	-0	-0	0	-0	-0.001	-0.014
0.1	NaN	1443	NaN	1636	90	575	0	0	0	546	0	-0	0	-0	0	0	0	0	-0.001	-0.014
0.2	NaN	1496	NaN	1707	88	571	0	0	0	546	-0	0	0	0	0	0	0	0	0.001	-0.006
0.3	NaN	1454	NaN	1730	89	571	0	0	0	545	0	0	0	0	-0	-0	0	-0	0.001	-0.004
0.4	NaN	1434	NaN	1750	90	575	0	0	0	546	0	-0	0	0	0	0	0	-0	0.001	-0.096
0.5	NaN	1495	NaN	1757	90	574	0	0	0	545	-0	-0	-0	-0	0	-0	0	0	0.002	-0.057
0.6	NaN	1371	NaN	1734	89	570	0	0	0	545	0	-0	-0	-0	0	-0	0	-0	-0.001	-0.084
0.7	NaN	1445	NaN	1807	89	566	0	0	0	545	-0	0	0	0	0	0	0	0	-0	-0.051
0.8	NaN	1361	NaN	1722	89	566	0	0	0	544	0	-0	0	-0	0	-0	0	0	-0	-0.051
0.9	NaN	1402	NaN	1679	90	567	0	0	0	544	-0	-0	0	0	-0	-0	0	-0	-0.001	-0.019
1	NaN	1439	NaN	1669	90	572	0	0	0	544	0	-0	0	-0	-0	-0	0	0	-0.001	-0.019
1.1	NaN	1389	NaN	1631	89	562	0	0	0	547	-0	0	-0	0	0	-0	0	-0	-0	-0.069
1.2	NaN	1389	NaN	1714	90	570	0	0	0	545	0	-0	0	-0	0	-0	0	-0	-0	-0.069
1.3	NaN	1425	NaN	1676	90	571	0	0	0	546	0	0	0	-0	0	-0	0	-0	-0.002	-0.087
1.4	NaN	1440	NaN	1580	90	574	0	0	0	545	0	0	-0	0	0	-0	0	-0	-0.002	-0.055
1.5	NaN	1454	NaN	1761	89	570	0	0	0	544	0	0	0	-0	0	0	0	0	-0.003	-0.065
1.6	NaN	1403	NaN	1662	88	573	0	0	0	554	0	0	0	-0	0	0	0	0	0	-0.054
1.7	NaN	1402	NaN	1641	90	585	0	0	0	555	-0	0	0	-0	0	0	0	0	0	-0.054
1.8	NaN	1416	NaN	1611	90	583	0	0	0	554	0	0	0	-0	0	0	0	0	0.003	-0.075
1.9	NaN	1444	NaN	1642	89	577	0	0	0	554	0	0	0	0	0	0	0	0	0	-0.09
2	NaN	1447	NaN	1657	91	580	0	0	0	549	0	0	0	0	-0	-0	-0	-0	0	-0.09
2.1	NaN	1499	NaN	1651	88	567	0	0	0	547	-0	-0	0	-0	0	-0	0	-0	-0.006	-0.016
2.2	NaN	1426	NaN	1653	90	569	0	0	0	546	0	-0	-0	-0	0	0	0	-0	-0.011	-0.068
2.3	NaN	1455	NaN	1646	89	564	0	0	0	547	0	0	0	-0	0	-0	-0	-0	-0.011	-0.068
2.4	NaN	1420	NaN	1603	90	569	0	0	0	545	-0	0	0	0	0	-0	-0	-0	-0.009	-0.076
2.5	NaN	1395	NaN	1661	90	574	0	0	0	545	-0	0	0	0	-0	0	-0	-0	-0.009	-0.076
2.6	NaN	1427	NaN	1626	89	566	0	0	0	547	0	0	0	0	0	0	0	-0	-0.01	-0.057
